displayValue,id,headline,headlineV2/text
Warehousing and Storage,93,Warehousing and Storage,Warehousing and Storage
Sports Teams and Clubs,2142,Sports Teams and Clubs,Sports Teams and Clubs
Airlines and Aviation,94,Airlines and Aviation,Airlines and Aviation
Maritime Transportation,95,Maritime Transportation,Maritime Transportation
Racetracks,2143,Racetracks,Racetracks
IT Services and IT Consulting,96,IT Services and IT Consulting,IT Services and IT Consulting
Market Research,97,Market Research,Market Research
Public Relations and Communications Services,98,Public Relations and Communications Services,Public Relations and Communications Services
Design Services,99,Design Services,Design Services
Non-profit Organizations,100,Non-profit Organizations,Non-profit Organizations
Fundraising,101,Fundraising,Fundraising
Strategic Management Services,102,Strategic Management Services,Strategic Management Services
Writing and Editing,103,Writing and Editing,Writing and Editing
Staffing and Recruiting,104,Staffing and Recruiting,Staffing and Recruiting
Wholesale Motor Vehicles and Parts,1128,Wholesale Motor Vehicles and Parts,Wholesale Motor Vehicles and Parts
"Professional Training and Coaching",105,"Professional Training and Coaching","Professional Training and Coaching"
Business Skills Training,105,Business Skills Training,Business Skills Training
Venture Capital and Private Equity Principals,106,Venture Capital and Private Equity Principals,Venture Capital and Private Equity Principals
Political Organizations,107,Political Organizations,Political Organizations
Translation and Localization,108,Translation and Localization,Translation and Localization
Computer Games,109,Computer Games,Computer Games
Events Services,110,Events Services,Events Services
Retail Art Supplies,111,Retail Art Supplies,Retail Art Supplies
"Retail Art Dealers",3186,"Retail Art Dealers","Retail Art Dealers"
Museums,2159,Museums,Museums
"Appliances, Electrical, and Electronics Manufacturing",112,"Appliances, Electrical, and Electronics Manufacturing","Appliances, Electrical, and Electronics Manufacturing"
Online Audio and Video Media,113,Online Audio and Video Media,Online Audio and Video Media
Wholesale Furniture and Home Furnishings,1137,Wholesale Furniture and Home Furnishings,Wholesale Furniture and Home Furnishings
Historical Sites,2161,Historical Sites,Historical Sites
Nanotechnology Research,114,Nanotechnology Research,Nanotechnology Research
Musicians,115,Musicians,Musicians
Zoos and Botanical Gardens,2163,Zoos and Botanical Gardens,Zoos and Botanical Gardens
"Transportation, Logistics, Supply Chain and Storage",116,"Transportation, Logistics, Supply Chain and Storage","Transportation, Logistics, Supply Chain and Storage"
"Transportation, Logistics and Storage",116,"Transportation, Logistics and Storage","Transportation, Logistics and Storage"
Plastics Manufacturing,117,Plastics Manufacturing,Plastics Manufacturing
Computer and Network Security,118,Computer and Network Security,Computer and Network Security
Wireless Services,119,Wireless Services,Wireless Services
Amusement Parks and Arcades,2167,Amusement Parks and Arcades,Amusement Parks and Arcades
Alternative Dispute Resolution,120,Alternative Dispute Resolution,Alternative Dispute Resolution
Security and Investigations,121,Security and Investigations,Security and Investigations
Facilities Services,122,Facilities Services,Facilities Services
Outsourcing and Offshoring Consulting,123,Outsourcing and Offshoring Consulting,Outsourcing and Offshoring Consulting
Wellness and Fitness Services,124,Wellness and Fitness Services,Wellness and Fitness Services
Alternative Medicine,125,Alternative Medicine,Alternative Medicine
Media Production,126,Media Production,Media Production
Animation and Post-production,127,Animation and Post-production,Animation and Post-production
Leasing Non-residential Real Estate,128,Leasing Non-residential Real Estate,Leasing Non-residential Real Estate
Capital Markets,129,Capital Markets,Capital Markets
Wholesale Photography Equipment and Supplies,1153,Wholesale Photography Equipment and Supplies,Wholesale Photography Equipment and Supplies
Think Tanks,130,Think Tanks,Think Tanks
Philanthropic Fundraising Services,131,Philanthropic Fundraising Services,Philanthropic Fundraising Services
Golf Courses and Country Clubs,2179,Golf Courses and Country Clubs,Golf Courses and Country Clubs
E-Learning Providers,132,E-Learning Providers,E-Learning Providers
Wholesale,133,Wholesale,Wholesale
Wholesale Computer Equipment,1157,Wholesale Computer Equipment,Wholesale Computer Equipment
Skiing Facilities,2181,Skiing Facilities,Skiing Facilities
Wholesale Import and Export,134,Wholesale Import and Export,Wholesale Import and Export
Industrial Machinery Manufacturing,135,Industrial Machinery Manufacturing,Industrial Machinery Manufacturing
Photography,136,Photography,Photography
Human Resources Services,137,Human Resources Services,Human Resources Services
Retail Office Equipment,138,Retail Office Equipment,Retail Office Equipment
Mental Health Care,139,Mental Health Care,Mental Health Care
Graphic Design,140,Graphic Design,Graphic Design
International Trade and Development,141,International Trade and Development,International Trade and Development
Beverage Manufacturing,142,Beverage Manufacturing,Beverage Manufacturing
Accommodation,2190,Accommodation,Accommodation
Wholesale Metals and Minerals,1166,Wholesale Metals and Minerals,Wholesale Metals and Minerals
Retail Luxury Goods and Jewelry,143,Retail Luxury Goods and Jewelry,Retail Luxury Goods and Jewelry
Renewable Energy Semiconductor Manufacturing,144,Renewable Energy Semiconductor Manufacturing,Renewable Energy Semiconductor Manufacturing
"Glass, Ceramics and Concrete Manufacturing",145,"Glass, Ceramics and Concrete Manufacturing","Glass, Ceramics and Concrete Manufacturing"
Packaging and Containers Manufacturing,146,Packaging and Containers Manufacturing,Packaging and Containers Manufacturing
Hotels and Motels,2194,Hotels and Motels,Hotels and Motels
Automation Machinery Manufacturing,147,Automation Machinery Manufacturing,Automation Machinery Manufacturing
